abbrev.	abbreviation (of)
Abbrev.	abbreviation(s)
Abd.	Aberdeen
Aberd.	Aberdeen
Aberdeensh.	Aberdeenshire
abl.	ablative
Abol.	abolition
Aborig.	aboriginal
Abr.	abridged
Abridg.	abridged
Absol.	absolute
Abstr.	abstract(s)
Acad.	academia, academy, academic(al)
acc.	according (to)
Accs.	accounts
Acct.	account
Accts.	accounts
A.D.	Anno Domini
Add.	addendum, addenda
Addr.	address
adj.	adjective, adjectival
Adm.	admiral
Adm.	admiralty
Admin.	administration, administrative
Admir.	admiralty
Admon.	admonition
adv.	adverb, adverbial(ly)
Adv.	advanced
Adv.	advances
Adv.	adventure(s)
Adv.	advices
Adv.	advocate
Advert.	advertisement
Advt.	advertisement
Advts.	advertisements
Aerodynam.	aerodynamics
Aeronaut.	aeronautics, aeronautical
Aff.	affairs
Affect.	affecting
Affect.	affection(s)
Afr.	Africa(n)
Agric.	agriculture, agricultural
Alg.	algebra
Alleg.	allegiance
Alph.	alphabet, alphabetical
alt.	alteration
a.m.	before noon
Anc.	ancient
Anecd.	anecdotes
Ang.	Anglian
Angl.	Anglian
Anglo-Ind.	Anglo-Indian
Anim.	animal(s)
Ann.	annal(s)
Ann.	annual
Anniv.	anniversary
Annot.	annotation
Anon.	(in author names) Anonymous
Answ.	answer
Ant.	antiquities
Anthrop.	anthropology
Anthropol.	anthropology, anthropological
Antiq.	antiquity, antiquities
app.	application
Appl.	applied
Apr.	April
arch.	archaic
Arch.	architecture
Arch.	archive(s)
Arith.	arithmetic
Arithm.	arithmetic, arithmetical
Arrangem.	arrangement
art.	article
Artic.	articulation
Artific.	artificial
Artill.	artillery
Assemb.	assembly, assemblies
Assoc.	association
Assoc. Football	Association Football
Astr.	astronomy
Astrol.	astrology
Astron.	astronomy, astronomic(al)
attrib.	attributive(ly)
Attrib.	attribute(s)
Aug.	August
Austral.	Australia(n)
Auth.	author(s)
Autobiog.	autobiography
Autobiogr.	autobiography, autobiographic(al)
B.C.	Before Christ
B.C.	British Columbia
bef.	before
Bel & Dr.	(in the Apocrypha) Bel and the Dragon
Belg.	Belgian
betw.	between
Bibliogr.	bibliography
Biochem.	biochemistry, biochemical
Biog.	biography
Biogr.	biography, biographic(al)
Biol.	biology, biologicalCal.	calendar
Calc.	calculus
Calend.	calendar
Calif.	California
Calligr.	calligraphy
Camb.	Cambridge
Cambr.	Cambridge
Campanol.	campanology
Canad.	Canadian
Canterb.	Canterbury
Capt.	captain
Cartogr.	cartography, cartographic(al)
cent.	century
Cent.	central
Cent.	century
Ceram.	ceramics
Cert.	certificate
Certif.	certificate
Char.	character
Charac.	character
Chas.	Charles
Chem.	chemistry, chemical
Chr.	Christian
Chr.	(in the Bible) Chronicles
Chron.	chronology, chronicle
Chron.	(in the Bible) Chronicles
Chronol.	chronology
Chrons.	chronicles
Cinematogr.	cinematography, cinematographic(al)
Circ.	circle
cl.	clause
Cl.	club
Class. Antiq.	classical antiquities
Class.	classical
